Date,Open,High,Low,Close,% Change,Volume
12/1994,3.88,4.11,3.59,3.99,0.012199999999999999,2126796800
11/1994,3.87,4.20,3.73,3.95,0.016,1661600000
10/1994,3.86,3.94,3.59,3.88,0.0101,1679555200
9/1994,4.05,4.27,3.75,3.84,-0.0645,1301622400
8/1994,3.69,4.22,3.54,4.11,0.1096,1555363200
7/1994,3.68,3.94,3.51,3.70,0.0129,1286740800
6/1994,3.91,4.06,3.58,3.66,-0.064,1182070400
5/1994,3.80,3.92,3.53,3.91,0.024399999999999998,1274883200
4/1994,4.09,4.44,3.50,3.81,-0.0962,1856948800
3/1994,4.31,4.59,4.06,4.22,-0.0182,1662636800
2/1994,4.06,4.33,3.78,4.30,0.0537,1389000000
1/1994,3.89,4.33,3.80,4.08,0.0524,1974097600
12/1993,3.86,4.05,3.52,3.88,0.008100000000000001,1491811200
11/1993,3.95,4.03,3.52,3.84,-0.0276,1562139200
10/1993,4.47,4.62,3.84,3.95,-0.1061,2020817600
9/1993,3.98,4.64,3.77,4.42,0.1011,1282339200
8/1993,3.27,4.20,3.27,4.02,0.2296,1492656000
7/1993,3.44,3.56,3.08,3.27,-0.05,1232262400
6/1993,3.47,3.78,3.31,3.44,-0.0078000000000000005,1345090400
5/1993,2.99,3.55,2.98,3.47,0.1655,1689148800
4/1993,3.59,3.78,2.67,2.97,-0.1728,3788163200
3/1993,3.65,3.79,3.48,3.59,-0.0129,2026496000
2/1993,3.34,3.75,3.26,3.64,0.09140000000000001,2405235200
1/1993,2.72,3.69,2.70,3.34,0.22690000000000002,2980275200
12/1992,2.24,2.86,2.22,2.72,0.21710000000000002,1923811200
11/1992,2.09,2.26,2.08,2.23,0.0593,1046403200
10/1992,2.05,2.16,1.90,2.11,0.0263,1556710400
9/1992,1.81,2.09,1.81,2.06,0.1335,1204592000
8/1992,1.88,1.91,1.70,1.81,-0.028900000000000002,789286400
7/1992,1.78,1.88,1.71,1.87,0.0483,1166182400
6/1992,1.56,1.81,1.49,1.78,0.13949999999999999,1387920000
5/1992,1.67,1.71,1.45,1.56,-0.0652,1200016000
4/1992,1.73,1.85,1.53,1.67,-0.0318,1772044800
3/1992,1.98,2.11,1.61,1.73,-0.1295,1698380800
2/1992,1.88,2.15,1.84,1.98,0.0604,1361203200
